trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.8892927216231682}",35,0,-215.50671737064843,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 5}",0
97,False,"{'a': 0.5, 'e': 0.8869949227792842}",30,0,-93.80883797056251,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.8846749491085283}",20,0,-70.57876092168983,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.8823328586101215}",30,0,-230.77491386433852,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.8799687098362042}",25,0,-139.79150263074266,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-19.138956251795832,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.8751744744262013}",20,0,-114.53531086092048,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.8727445076457513}",30,0,-110.24648281895114,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",1
104,False,"{'a': 0.5, 'e': 0.8702927222980654}",20,8,3.839811213287537,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.8678191796776499}",20,0,-206.00924388536765,"{0: 7, 1: 0, 2: 8, 3: 3, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.8653239416229412}",25,0,-72.05951687954395,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.862807070514761}",20,0,-76.46832661914716,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8602686292747557}",25,0,-70.09961797407567,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.8577086813638242}",30,0,-135.9534820629618,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.8551272907805307}",20,0,-79.74011663829708,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,7,-141.82471049906985,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 3}",1
112,False,"{'a': 0.5, 'e': 0.8499004402698315}",20,8,-14.411434659221257,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,9,-100.12187285108202,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.8445886004233533}",30,0,-123.08243019484777,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.8419009751622687}",20,0,-73.25090578720508,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.8391923024206541}",25,0,-51.347615045544025,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.8364626499151869}",35,0,-142.8100283782468,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.8337120858870376}",25,3,-74.83673631162785,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.8309406791001636}",20,0,-6.797410132658043,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.8281484988395901}",20,13,4.321740724668903,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-54.09903066268518,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.82250209763238}",25,0,-28.625093587214337,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.8196480178454795}",35,0,-155.95611902140664,"{0: 21, 1: 3, 2: 7, 3: 3, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.8167734469008229}",20,0,-54.73947227895275,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.8138784566625339}",35,0,-105.1688230522603,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.8109631195052179}",20,0,-103.13617639715125,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-88.35896724462725,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.8050716964734628}",25,0,-44.45828721039937,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.8020957578842927}",25,15,-29.21096237204434,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.7990997669429512}",25,0,-79.87146956857322,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.7960837985490559}",20,0,-59.107354540221934,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.7930479281016595}",30,4,-33.868970089936234,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
